entry_date,exit_date,direction,entry_price,exit_price,position_size,holding_bars,entry_equity,exit_equity,pnl_amount,return_pct,exit_reason
2021-08-31,2021-09-03,short,440.8,456.0,0.3884,3,1191522.53,1175217.03,-16305.5,-0.013685,reverse_signal
2021-09-03,2021-11-18,long,456.0,489.9,0.401,47,1175217.03,1212585.32,37368.29,0.031797,trailing_stop
2021-11-19,2021-11-22,long,506.3,487.5,0.2872,1,1212411.19,1199147.51,-13263.67,-0.01094,reverse_signal
2021-11-22,2021-12-28,short,487.5,493.4,0.2695,26,1199147.51,1191102.81,-8044.7,-0.006709,trailing_stop
2021-12-29,2022-01-05,short,493.4,502.8,0.3204,4,1190912.01,1183204.05,-7707.96,-0.006472,reverse_signal
2022-01-05,2022-03-11,long,502.8,683.0,0.3738,42,1183204.05,1335997.17,152793.12,0.129135,trailing_stop
2022-03-14,2022-04-08,long,683.5,625.6,0.1411,17,1335902.89,1321752.29,-14150.6,-0.010593,trailing_stop
2022-04-11,2022-04-13,long,624.6,650.5,0.17,2,1321639.97,1330640.16,9000.19,0.00681,reverse_signal
2022-04-13,2022-05-12,short,650.5,678.7,0.1871,18,1330640.16,1317655.07,-12985.09,-0.009759,reverse_signal
2022-05-12,2022-06-20,long,678.7,692.9,0.2223,26,1317655.07,1325558.99,7903.92,0.005998,trailing_stop
2022-06-21,2022-06-28,long,708.2,727.6,0.2494,5,1325393.72,1334658.74,9265.03,0.00699,reverse_signal
2022-06-28,2022-08-19,short,727.6,692.7,0.2433,38,1334658.74,1344364.77,9706.03,0.007272,reverse_signal
2022-08-19,2022-09-07,long,692.7,684.1,0.3047,13,1344364.77,1339655.14,-4709.63,-0.003503,trailing_stop
2022-09-08,2022-09-15,long,664.9,675.9,0.3208,4,1339440.28,1347794.6,8354.31,0.006237,reverse_signal
2022-09-15,2022-10-10,short,675.9,701.9,0.2592,12,1347794.6,1330253.71,-17540.89,-0.013015,trailing_stop
2022-10-11,2022-10-21,short,695.3,664.0,0.2615,8,1330079.76,1345430.37,15350.61,0.011541,reverse_signal
2022-10-21,2022-10-24,long,664.0,666.2,0.309,1,1345430.37,1346389.63,959.26,0.000713,reverse_signal
2022-10-24,2022-10-31,short,666.2,679.8,0.3122,5,1346389.63,1337258.04,-9131.58,-0.006782,reverse_signal
2022-10-31,2022-11-14,long,679.8,665.1,0.4122,10,1337258.04,1325484.59,-11773.45,-0.008804,trailing_stop
2022-11-15,2022-11-21,long,649.7,600.2,0.3605,4,1325245.66,1287938.43,-37307.24,-0.028151,hard_stop
2022-11-22,2022-12-26,short,593.5,559.4,0.3029,24,1287743.36,1306921.03,19177.67,0.014892,trailing_stop
2022-12-27,2023-01-18,short,566.4,563.5,0.3312,15,1306704.58,1306998.09,293.51,0.000225,trailing_stop
2023-01-19,2023-01-30,short,549.3,552.4,0.3595,2,1306763.14,1303300.11,-3463.03,-0.00265,reverse_signal
2023-01-30,2023-02-06,long,552.4,518.6,0.3544,5,1303300.11,1274601.62,-28698.49,-0.02202,hard_stop
2023-02-07,2023-03-14,long,530.3,529.5,0.3142,25,1274401.39,1274806.52,405.13,0.000318,trailing_stop
2023-03-15,2023-03-16,long,522.6,493.8,0.3198,1,1274602.7,1251940.97,-22661.73,-0.017779,hard_stop
