date,close,ma_fast,ma_slow,atr,signal,position,position_size,daily_return,strategy_return,equity,drawdown,action
2020-04-16,258.6,285.36,302.78000000000003,15.385714285714283,-1,-1,0.17838202247191012,-0.05792349726775947,0.010332510591269094,1127097.0806860803,-0.06871542727134672,HOLD
2020-04-17,253.7,281.83000000000004,298.63250000000005,16.357142857142854,-1,-1,0.17838202247191012,-0.01894818252126851,0.0033800151203107736,1130906.6858608574,-0.06556767133421171,HOLD
2020-04-20,242.8,277.76,294.3175,16.857142857142854,-1,-1,0.17838202247191012,-0.04296413086322415,0.007664028557129737,1139573.9869967438,-0.05840615528261195,HOLD
2020-04-21,229.2,270.91,290.0425,16.19285714285714,-1,-1,0.17838202247191012,-0.05601317957166396,0.009991744257075698,1150960.3188368313,-0.04899799039215924,HOLD
2020-04-22,210.6,262.69,285.325,17.071428571428573,-1,-1,0.17838202247191012,-0.08115183246073299,0.014476028001647157,1167621.652641098,-0.03523125867145338,HOLD
2020-04-23,227.5,255.28000000000003,281.4525,17.49285714285714,-1,-1,0.17838202247191012,0.08024691358024705,-0.014314606741573059,1150907.6078605952,-0.04904154380013381,HOLD
2020-04-24,231.1,249.39000000000001,278.0125,16.564285714285713,-1,-1,0.17838202247191012,0.015824175824175724,-0.002822748487467571,1147658.8851512917,-0.051725860344016605,HOLD
2020-04-27,215.2,242.4,274.555,16.642857142857142,-1,-1,0.17838202247191012,-0.06880138468195585,0.01227293014843518,1161744.0224829845,-0.04008775806645126,HOLD
2020-04-28,206.6,234.98000000000002,270.675,16.571428571428573,-1,-1,0.17838202247191012,-0.03996282527881034,0.007128649596925765,1170025.6885405888,-0.033244880049907444,HOLD
2020-04-29,224.5,229.98000000000002,267.02000000000004,17.357142857142858,-1,-1,0.17838202247191012,0.08664085188770576,-0.015455170388418166,1151942.7421653678,-0.04818624515261172,HOLD
2020-04-30,229.0,227.02000000000004,263.5525,17.371428571428574,-1,-1,0.17838202247191012,0.020044543429844186,-0.003575586196541644,1147823.871597275,-0.05158953727612259,HOLD
2020-05-06,246.4,226.29000000000002,260.37,18.657142857142862,-1,0,0.0,0.07598253275109168,-0.013643108875913839,1132165.3731367923,-0.06452765795643367,STOP_EXIT
2020-05-07,247.2,226.72999999999996,257.61749999999995,18.850000000000005,-1,-1,0.13114058355437663,0.0032467532467532756,-6.557029177718832e-05,1132091.1367229356,-0.06458899715085109,OPEN
2020-05-08,248.6,228.67,255.37999999999997,19.635714285714293,-1,-1,0.13114058355437663,0.005663430420711935,-0.0007427055702917719,1131250.3263296136,-0.06528373211317928,HOLD
2020-05-11,243.3,231.94,253.77250000000004,19.00714285714286,-1,-1,0.13114058355437663,-0.021319388576025666,0.0027958370588825167,1134413.117914839,-0.06267041773188087,HOLD
2020-05-12,238.4,233.03000000000003,252.85750000000002,18.064285714285713,-1,-1,0.13114058355437663,-0.020139745170571377,0.002641137934305169,1137409.2594337373,-0.060194801015206134,HOLD
